kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TWK,Bhinneka Tunggal Ika,Multikulturalisme,sedang,[Bhinneka Tunggal Ika - Multikulturalisme] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Proklamasi 1945,Konferensi Meja Bundar,DPD,Keadilan sosial bagi seluruh rakyat,Kebangkitan Nasional 1908,C,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Bhinneka Tunggal Ika,Keberagaman Suku,sedang,[Bhinneka Tunggal Ika - Keberagaman Suku] Semangat nasionalisme dalam konteks ASN modern paling tepat diwujudkan dengan...,Reformasi 1998,MPR,Keadilan sosial bagi seluruh rakyat,Pasal 30 ayat 1,Otonomi daerah,A,"Nasionalisme ASN = pelayanan profesional, integritas, anti-KKN, bukan simbolik semata.",
TWK,Bhinneka Tunggal Ika,Keberagaman Suku,sulit,[Bhinneka Tunggal Ika - Keberagaman Suku] Sumpah Pemuda 28 Oktober 1928 menegaskan ikrar...,Pasal 30 ayat 1,Otonomi daerah,DPR,MPR,Bela negara melalui profesi,E,"Isi Sumpah Pemuda: bertumpah darah, berbangsa, berbahasa satu Indonesia.",
TWK,Bhinneka Tunggal Ika,Keberagaman Suku,mudah,[Bhinneka Tunggal Ika - Keberagaman Suku] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Keadilan sosial bagi seluruh rakyat,Sila ketiga Persatuan Indonesia,Ketahanan nasional,Pasal 33 ayat 3,Pasal 29 ayat 2,B,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,Bhinneka Tunggal Ika,Semboyan Bhinneka,mudah,[Bhinneka Tunggal Ika - Semboyan Bhinneka] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Melindungi segenap bangsa dan tumpah darah,Kebangkitan Nasional 1908,DPD,Sila ketiga Persatuan Indonesia,Sila kelima Keadilan Sosial,A,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,Bhinneka Tunggal Ika,Keberagaman Suku,sulit,[Bhinneka Tunggal Ika - Keberagaman Suku] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Mencerdaskan kehidupan bangsa,Ketahanan nasional,Sila kelima Keadilan Sosial,Pasal 28A-28J,Sila ketiga Persatuan Indonesia,A,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Bhinneka Tunggal Ika,Konflik & Resolusi,sedang,[Bhinneka Tunggal Ika - Konflik & Resolusi] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Melindungi segenap bangsa dan tumpah darah,DPD,Keadilan sosial bagi seluruh rakyat,Ikut melaksanakan ketertiban dunia,Sila kedua Kemanusiaan yang Adil dan Beradab,A,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Bhinneka Tunggal Ika,Keberagaman Suku,sulit,[Bhinneka Tunggal Ika - Keberagaman Suku] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Mencerdaskan kehidupan bangsa,Kebangkitan Nasional 1908,Otonomi daerah,Presiden,Ketahanan nasional,A,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Bhinneka Tunggal Ika,Toleransi Antar Umat,sedang,[Bhinneka Tunggal Ika - Toleransi Antar Umat] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Mencerdaskan kehidupan bangsa,MPR,Sila pertama Ketuhanan Yang Maha Esa,Memajukan kesejahteraan umum,Pasal 33 ayat 3,E,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Sejarah Indonesia,Orde Baru/Orde Lama,sulit,[Sejarah Indonesia - Orde Baru/Orde Lama] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,DPD,Integrasi nasional,Sumpah Pemuda 1928,Mahkamah Konstitusi,Kebangkitan Nasional 1908,D,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,mudah,[Sejarah Indonesia - Perjuangan Kemerdekaan] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Pasal 29 ayat 2,Pasal 30 ayat 1,Ikut melaksanakan ketertiban dunia,MPR,Sila pertama Ketuhanan Yang Maha Esa,E,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Sejarah Indonesia,Orde Baru/Orde Lama,sedang,[Sejarah Indonesia - Orde Baru/Orde Lama] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Wawasan Nusantara,Sumpah Pemuda 1928,Mencerdaskan kehidupan bangsa,Integrasi nasional,Pasal 27 ayat 2,B,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
TWK,Sejarah Indonesia,Orde Baru/Orde Lama,sulit,[Sejarah Indonesia - Orde Baru/Orde Lama] Ketua RT memutuskan iuran warga melalui musyawarah mufakat meski ada perbedaan pendapat. Nilai ini sesuai sila ke-...,Mahkamah Konstitusi,DPD,Sila pertama Ketuhanan Yang Maha Esa,Konferensi Meja Bundar,Mencerdaskan kehidupan bangsa,C,Musyawarah mufakat adalah inti sila ke-4 Kerakyatan yang dipimpin hikmat kebijaksanaan.,
TWK,Sejarah Indonesia,Sumpah Pemuda,sedang,[Sejarah Indonesia - Sumpah Pemuda] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Wawasan Nusantara,Sila pertama Ketuhanan Yang Maha Esa,Sila ketiga Persatuan Indonesia,Bela negara melalui profesi,Ikut melaksanakan ketertiban dunia,C,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,sedang,[Sejarah Indonesia - Perjuangan Kemerdekaan] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Pasal 27 ayat 2,Sila kedua Kemanusiaan yang Adil dan Beradab,Pasal 30 ayat 1,Mencerdaskan kehidupan bangsa,Melindungi segenap bangsa dan tumpah darah,E,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,mudah,[Sejarah Indonesia - Perjuangan Kemerdekaan] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Melindungi segenap bangsa dan tumpah darah,Otonomi daerah,Kebangkitan Nasional 1908,Mencerdaskan kehidupan bangsa,Pasal 30 ayat 1,C,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Sejarah Indonesia,Orde Baru/Orde Lama,mudah,[Sejarah Indonesia - Orde Baru/Orde Lama] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Proklamasi 1945,Sila ketiga Persatuan Indonesia,MPR,Sila pertama Ketuhanan Yang Maha Esa,Integrasi nasional,D,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,Sejarah Indonesia,Sumpah Pemuda,sulit,[Sejarah Indonesia - Sumpah Pemuda] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Memajukan kesejahteraan umum,Pasal 29 ayat 2,Bela negara melalui profesi,Sila ketiga Persatuan Indonesia,Otonomi daerah,E,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Sejarah Indonesia,Proklamasi 1945,sulit,[Sejarah Indonesia - Proklamasi 1945] Seorang ASN menolak melayani warga berbeda agama dengan alasan keyakinan pribadi. Tindakan ini bertentangan dengan sila Pancasila ke-...,Pasal 29 ayat 2,Pasal 28A-28J,Proklamasi 1945,Sila pertama Ketuhanan Yang Maha Esa,Mahkamah Konstitusi,D,Sila 1 menjamin kebebasan beragama dan toleransi; menolak layanan karena agama melanggar Ketuhanan Yang Maha Esa yang inklusif.,
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,mudah,[Sejarah Indonesia - Perjuangan Kemerdekaan] Program bantuan sosial yang memprioritaskan warga miskin tanpa diskriminasi mencerminkan sila ke-...,Sila kelima Keadilan Sosial,MPR,Wawasan Nusantara,Sila keempat Kerakyatan,Presiden,D,Keadilan sosial sila ke-5 menuntut pemerataan dan keberpihakan pada yang lemah.,
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,sedang,[Sejarah Indonesia - Perjuangan Kemerdekaan] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Ketahanan nasional,Pasal 30 ayat 1,Otonomi daerah,Memajukan kesejahteraan umum,Pasal 27 ayat 2,B,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Sejarah Indonesia,Sumpah Pemuda,sedang,[Sejarah Indonesia - Sumpah Pemuda] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Integrasi nasional,Ketahanan nasional,Sila keempat Kerakyatan,Otonomi daerah,Proklamasi 1945,A,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Sejarah Indonesia,Perjuangan Kemerdekaan,mudah,[Sejarah Indonesia - Perjuangan Kemerdekaan] Pembukaan UUD 1945 alinea ke-4 memuat tujuan negara. Manakah yang BUKAN tujuan negara menurut alinea tersebut?,Sila keempat Kerakyatan,Presiden,Sila pertama Ketuhanan Yang Maha Esa,Konferensi Meja Bundar,Pasal 33 ayat 3,B,"Tujuan di alinea 4: melindungi, memajukan, mencerdaskan, ikut perdamaian dunia — bukan mendirikan negara agama.",
TWK,Sejarah Indonesia,Sumpah Pemuda,sedang,[Sejarah Indonesia - Sumpah Pemuda] Sumpah Pemuda 28 Oktober 1928 menegaskan ikrar...,Konferensi Meja Bundar,Mencerdaskan kehidupan bangsa,Ketahanan nasional,Pasal 28A-28J,Sila ketiga Persatuan Indonesia,A,"Isi Sumpah Pemuda: bertumpah darah, berbangsa, berbahasa satu Indonesia.",
TWK,Nasionalisme,Semangat Kebangsaan,sulit,[Nasionalisme - Semangat Kebangsaan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Ketahanan nasional,Otonomi daerah,Pasal 33 ayat 3,Reformasi 1998,Wawasan Nusantara,C,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Nasionalisme,Cinta Tanah Air,mudah,[Nasionalisme - Cinta Tanah Air] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Sumpah Pemuda 1928,Sila kedua Kemanusiaan yang Adil dan Beradab,Memajukan kesejahteraan umum,DPD,Ikut melaksanakan ketertiban dunia,E,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Nasionalisme,Pahlawan Nasional,mudah,[Nasionalisme - Pahlawan Nasional] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,DPR,Bela negara melalui profesi,Melindungi segenap bangsa dan tumpah darah,Sila pertama Ketuhanan Yang Maha Esa,Reformasi 1998,C,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Nasionalisme,Upacara & Simbol Negara,mudah,[Nasionalisme - Upacara & Simbol Negara] Lembaga yang berwenang menguji undang-undang terhadap UUD 1945 adalah...,Sila keempat Kerakyatan,Ikut melaksanakan ketertiban dunia,Memajukan kesejahteraan umum,Bela negara melalui profesi,Kebangkitan Nasional 1908,D,Mahkamah Konstitusi (MK) berwenang judicial review UU terhadap UUD.,
TWK,Nasionalisme,Upacara & Simbol Negara,sedang,[Nasionalisme - Upacara & Simbol Negara] Semangat nasionalisme dalam konteks ASN modern paling tepat diwujudkan dengan...,Sila kelima Keadilan Sosial,Ikut melaksanakan ketertiban dunia,Pasal 27 ayat 2,Integrasi nasional,DPR,E,"Nasionalisme ASN = pelayanan profesional, integritas, anti-KKN, bukan simbolik semata.",
TWK,Nasionalisme,Pahlawan Nasional,sedang,[Nasionalisme - Pahlawan Nasional] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Sumpah Pemuda 1928,Konferensi Meja Bundar,DPD,Otonomi daerah,MPR,E,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Nasionalisme,Upacara & Simbol Negara,sulit,[Nasionalisme - Upacara & Simbol Negara] Hak warga negara untuk mendapat pekerjaan dan penghidupan yang layak dijamin dalam Pasal...,Proklamasi 1945,Integrasi nasional,Presiden,Pasal 30 ayat 1,Melindungi segenap bangsa dan tumpah darah,C,Pasal 27 ayat 2: tiap warga berhak atas pekerjaan dan penghidupan layak.,
TWK,Nasionalisme,Semangat Kebangsaan,mudah,[Nasionalisme - Semangat Kebangsaan] Gotong royong membangun jembatan desa yang melibatkan semua warga tanpa membedakan suku mencerminkan sila...,Pasal 30 ayat 1,Kebangkitan Nasional 1908,Keadilan sosial bagi seluruh rakyat,Pasal 29 ayat 2,Otonomi daerah,E,Gotong royong lintas suku adalah wujud Persatuan Indonesia sila ke-3.,
TWK,Nasionalisme,Upacara & Simbol Negara,mudah,[Nasionalisme - Upacara & Simbol Negara] Ancaman disintegrasi karena ujaran kebencian di media sosial dapat dicegah ASN dengan...,Mahkamah Konstitusi,Wawasan Nusantara,Mencerdaskan kehidupan bangsa,Melindungi segenap bangsa dan tumpah darah,Sila pertama Ketuhanan Yang Maha Esa,D,"ASN harus edukasi dan teladan toleransi, bukan pembiaran atau represi berlebihan.",
TWK,Nasionalisme,Upacara & Simbol Negara,sulit,[Nasionalisme - Upacara & Simbol Negara] Amandemen UUD 1945 membatasi masa jabatan Presiden menjadi maksimal...,Pasal 27 ayat 2,MPR,Pasal 28A-28J,Memajukan kesejahteraan umum,Sumpah Pemuda 1928,B,Pasal 7 UUD hasil amandemen: Presiden max 2 periode (2x5 tahun).,
