kategori,sub_materi,topik,level,pertanyaan,opsi_a,opsi_b,opsi_c,opsi_d,opsi_e,kunci_jawaban,pembahasan,skor_tkp
TKP,TIK,Inovasi,sedang,Pimpinan meminta ide pemanfaatan TIK untuk mempercepat pelayanan. — konteks varian 4.,Mengusulkan lembur saja,Mengusulkan dashboard tracking berkas online dan notifikasi WA otomatis,Mengusulkan menambah loket manual,Meniru sistem instansi lain tanpa adaptasi,Menolak karena sudah sibuk,B,"Skor 5: efektif, inovatif, berorientasi pengguna. Kunci B skor 5.","{""A"":3,""B"":5,""C"":4,""D"":2,""E"":1}"
TKP,Jejaring Kerja,Membangun Relasi,sedang,"Anda melihat atasan berbelanja di supermarket saat akhir pekan, tidak di kantor. — konteks varian 5.","Melihat situasi, jika memungkinkan baru menyapa",Menyelinap pergi agar tidak menyapa,Pura-pura tidak tahu sampai disapa dulu,Segera menghampiri dan menyapa dengan ramah,Tidak peduli karena bukan di kantor,D,"Skor 5: proaktif membangun jejaring, sopan, tidak canggung. Kunci D skor 5.","{""A"":3,""B"":1,""C"":4,""D"":5,""E"":2}"
TKP,Pelayanan Publik,Kepuasan Pengguna,sedang,Atasan meminta Anda memangkas waktu pelayanan 30% tanpa menambah SDM. Bagaimana Anda menyikapinya?,Menunda beberapa permohonan agar terlihat cepat,"Menganalisis alur kerja, mengusulkan digitalisasi formulir dan briefing tim untuk efisiensi",Meminta warga mengantri lebih cepat dengan membatasi konsultasi,Menolak arahan karena tidak realistis,Bekerja lembur setiap hari tanpa evaluasi proses,B,"Skor 5: proaktif, solutif, meningkatkan kinerja sistem bukan sekadar kerja keras. Kunci B skor 5.","{""A"":4,""B"":5,""C"":2,""D"":1,""E"":3}"
TKP,Profesionalisme,Disiplin SOP,sedang,Rekan tim melakukan kesalahan fatal karena tidak ikut SOP pada proyek penting yang menuntut kecepatan dan ketelitian.,Langsung lapor atasan tanpa diskusi,Menganalisis kesalahan sendiri tanpa libatkan tim,Berdiskusi dengan rekan lain untuk evaluasi dan solusi korektif bersama,Menyuruhnya tanggung jawab ke atasan sendiri,Mengeluarkannya dari tim,C,"Skor 5: profesional, musyawarah, perbaikan sistem. Kunci C skor 5.","{""A"":1,""B"":4,""C"":5,""D"":2,""E"":3}"
TKP,Pelayanan Publik,Responsivitas,sedang,Seorang pemohon mengeluh pelayanannya lambat padahal SOP sudah Anda jelaskan. Ia mulai meninggikan suara di ruang pelayanan. — konteks varian 4.,Mengabaikan keluhan dan melanjutkan pekerjaan sesuai SOP saja,Menyuruh pemohon membuat pengaduan tertulis saja,Meminta satpam untuk menenangkan pemohon,"Tetap tenang, mendengarkan keluhan, menjelaskan kembali SOP dengan empati dan menawarkan solusi percepatan jika memungkinkan",Menegur pemohon agar tidak berteriak karena mengganggu,D,Skor 5: keramahan + efektif + empati. Mendengarkan dan menjelaskan ulang dengan solusi adalah pelayanan prima. Kunci D skor 5.,"{""A"":3,""B"":4,""C"":2,""D"":5,""E"":1}"
TKP,Jejaring Kerja,Solidaritas,sulit,"Cici di toko kewalahan melayani pelanggan sambil harus hitung stok gudang, sementara Anda lowong. — konteks varian 3.",Membagi tugas berdua saja tanpa libatkan lain,Mengajak karyawan lain membantu Cici menghitung stok bersama,Menyuruh Cici lembur saja,Meminta maaf tidak bisa bantu,Memberi motivasi verbal saja,B,"Skor 5: kolaborasi maksimal, berbagi beban, inisiatif jejaring. Kunci B skor 5.","{""A"":2,""B"":5,""C"":3,""D"":4,""E"":1}"
TKP,Profesionalisme,Komitmen,mudah,Anda pegawai berprestasi ditawari perusahaan kompetitor dengan gaji lebih besar. — konteks varian 2.,"Menolak dengan pertimbangan loyalitas dan pengabdian, tetap fokus kontribusi",Mempertimbangkan dengan keluarga lalu memutuskan pindah,Melaporkan ke atasan sebagai ancaman,Memakai tawaran untuk minta kenaikan gaji,Langsung mengambil tawaran,A,"Skor 5: integritas, profesionalisme, loyalitas. Kunci A skor 5.","{""A"":5,""B"":3,""C"":4,""D"":1,""E"":2}"
TKP,Profesionalisme,Komitmen,sedang,Anda pegawai berprestasi ditawari perusahaan kompetitor dengan gaji lebih besar. — konteks varian 4.,Mempertimbangkan dengan keluarga lalu memutuskan pindah,"Menolak dengan pertimbangan loyalitas dan pengabdian, tetap fokus kontribusi",Melaporkan ke atasan sebagai ancaman,Memakai tawaran untuk minta kenaikan gaji,Langsung mengambil tawaran,B,"Skor 5: integritas, profesionalisme, loyalitas. Kunci B skor 5.","{""A"":1,""B"":5,""C"":2,""D"":3,""E"":4}"
TKP,Pelayanan Publik,Kepuasan Pengguna,sedang,Atasan meminta Anda memangkas waktu pelayanan 30% tanpa menambah SDM. Bagaimana Anda menyikapinya? — konteks varian 5.,Menolak arahan karena tidak realistis,"Menganalisis alur kerja, mengusulkan digitalisasi formulir dan briefing tim untuk efisiensi",Menunda beberapa permohonan agar terlihat cepat,Bekerja lembur setiap hari tanpa evaluasi proses,Meminta warga mengantri lebih cepat dengan membatasi konsultasi,B,"Skor 5: proaktif, solutif, meningkatkan kinerja sistem bukan sekadar kerja keras. Kunci B skor 5.","{""A"":3,""B"":5,""C"":1,""D"":4,""E"":2}"
TKP,Profesionalisme,Etos Kerja,mudah,Anda diminta mengerjakan tugas di luar bidang Anda oleh atasan. — konteks varian 3.,Melempar ke rekan lain,"Menerima tugas, mempelajarinya, dan meminta bimbingan agar tetap profesional",Menerima agar disukai atasan,Menolak tegas agar tidak semena-mena,Menolak halus karena bukan jobdesk,B,"Skor 5: fleksibel, mau belajar, berorientasi tujuan organisasi. Kunci B skor 5.","{""A"":2,""B"":5,""C"":1,""D"":3,""E"":4}"
TKP,Pelayanan Publik,Integritas Pelayanan,sedang,Seorang warga menawarkan uang percepatan agar berkasnya didahulukan. — konteks varian 5.,Menerima lalu melaporkan ke atasan,Meminta warga menitip uang ke rekan lain,"Menolak dengan halus, menjelaskan SOP antrian dan memastikan berkasnya tetap diproses sesuai urutan",Mengabaikan tawaran tanpa penjelasan,Menerima uang karena kasihan dan membantu mendahulukan,C,Skor 5: integritas + keramahan + edukasi. Kunci C skor 5.,"{""A"":4,""B"":2,""C"":5,""D"":3,""E"":1}"
TKP,Pelayanan Publik,Etika Pelayanan,sedang,Anda bertugas di loket pelayanan. Seorang warga lansia bingung mengisi formulir dan antrian panjang di belakang Anda. Sikap Anda? — konteks varian 2.,Memanggil petugas lain untuk membantu sambil Anda tetap melayani antrian,Memberikan formulir contoh yang sudah diisi dan membiarkan warga meniru sendiri,Menjelaskan dengan sabar langkah demi langkah sambil tetap menjaga keramahan pada antrian,Menyuruh warga kembali besok karena sudah hampir jam istirahat,Meminta warga tersebut mengisi di pojok ruangan sendiri agar antrian cepat,C,"Skor 5: pelayanan prima yang ramah, proaktif, dan tidak mengorbankan warga lain. Memanggil bantuan sambil tetap melayani adalah kolaboratif tapi opsi paling ideal adalah menjelaskan sabar namun efektif. Kunci C skor 5.","{""A"":1,""B"":2,""C"":5,""D"":4,""E"":3}"
TKP,Pelayanan Publik,Responsivitas,sedang,Seorang pemohon mengeluh pelayanannya lambat padahal SOP sudah Anda jelaskan. Ia mulai meninggikan suara di ruang pelayanan. — konteks varian 2.,Menyuruh pemohon membuat pengaduan tertulis saja,Meminta satpam untuk menenangkan pemohon,Menegur pemohon agar tidak berteriak karena mengganggu,"Tetap tenang, mendengarkan keluhan, menjelaskan kembali SOP dengan empati dan menawarkan solusi percepatan jika memungkinkan",Mengabaikan keluhan dan melanjutkan pekerjaan sesuai SOP saja,D,Skor 5: keramahan + efektif + empati. Mendengarkan dan menjelaskan ulang dengan solusi adalah pelayanan prima. Kunci D skor 5.,"{""A"":4,""B"":3,""C"":2,""D"":5,""E"":1}"
TKP,Profesionalisme,Etos Kerja,sedang,Anda diminta mengerjakan tugas di luar bidang Anda oleh atasan. — konteks varian 4.,Melempar ke rekan lain,Menerima agar disukai atasan,Menolak tegas agar tidak semena-mena,Menolak halus karena bukan jobdesk,"Menerima tugas, mempelajarinya, dan meminta bimbingan agar tetap profesional",E,"Skor 5: fleksibel, mau belajar, berorientasi tujuan organisasi. Kunci E skor 5.","{""A"":2,""B"":1,""C"":3,""D"":4,""E"":5}"
TKP,Sosial Budaya,Toleransi,sedang,Tim Anda kesulitan karena jam istirahat Jumat pukul 12.00 bentrok dengan salat Jumat 11.47. — konteks varian 4.,Menyiasati istirahat 11.00 tanpa izin,Meminta mereka protes sendiri,Mengajak perusahaan diskusi ulang penetapan jam istirahat Jumat,Meminta anggota tetap istirahat 12.00,Menulis kritik di media sosial,C,"Skor 5: adaptif, menghormati keberagaman, jalur formal. Kunci C skor 5.","{""A"":1,""B"":3,""C"":5,""D"":2,""E"":4}"
TKP,Pelayanan Publik,Integritas Pelayanan,sedang,Seorang warga menawarkan uang percepatan agar berkasnya didahulukan. — konteks varian 4.,Meminta warga menitip uang ke rekan lain,Menerima uang karena kasihan dan membantu mendahulukan,Menerima lalu melaporkan ke atasan,Mengabaikan tawaran tanpa penjelasan,"Menolak dengan halus, menjelaskan SOP antrian dan memastikan berkasnya tetap diproses sesuai urutan",E,Skor 5: integritas + keramahan + edukasi. Kunci E skor 5.,"{""A"":4,""B"":3,""C"":2,""D"":1,""E"":5}"
TKP,Sosial Budaya,Adaptasi,sedang,Anda ditugaskan ke divisi baru yang beberapa anggotanya tidak menyukai Anda. — konteks varian 3.,Cuek saja,Bertanya langsung mengapa tidak disukai dengan konfrontatif,"Berusaha menerima, belajar menjadi lebih baik dan membangun komunikasi",Mengundurkan diri,Minta atasan menangguhkan pindah,C,"Skor 5: adaptif, positif, efektif di lingkungan majemuk. Kunci C skor 5.","{""A"":4,""B"":2,""C"":5,""D"":1,""E"":3}"
TKP,Jejaring Kerja,Solidaritas,mudah,"Cici di toko kewalahan melayani pelanggan sambil harus hitung stok gudang, sementara Anda lowong. — konteks varian 4.",Menyuruh Cici lembur saja,Mengajak karyawan lain membantu Cici menghitung stok bersama,Membagi tugas berdua saja tanpa libatkan lain,Memberi motivasi verbal saja,Meminta maaf tidak bisa bantu,B,"Skor 5: kolaborasi maksimal, berbagi beban, inisiatif jejaring. Kunci B skor 5.","{""A"":1,""B"":5,""C"":3,""D"":4,""E"":2}"
TKP,TIK,Keamanan Data,sulit,Anda menerima email mencurigakan mengatasnamakan pimpinan meminta data pegawai. — konteks varian 2.,"Memverifikasi ke pimpinan via kanal resmi, tidak mengirim data, dan melaporkan sebagai dugaan phishing",Langsung mengirim data karena dari pimpinan,Membalas meminta konfirmasi via email yang sama,Meneruskan email ke rekan lain,Menghapus tanpa lapor,A,"Skor 5: melek keamanan TIK, prosedural. Kunci A skor 5.","{""A"":5,""B"":2,""C"":4,""D"":3,""E"":1}"
TKP,Pelayanan Publik,Etika Pelayanan,mudah,Anda bertugas di loket pelayanan. Seorang warga lansia bingung mengisi formulir dan antrian panjang di belakang Anda. Sikap Anda? — konteks varian 5.,Menjelaskan dengan sabar langkah demi langkah sambil tetap menjaga keramahan pada antrian,Menyuruh warga kembali besok karena sudah hampir jam istirahat,Memanggil petugas lain untuk membantu sambil Anda tetap melayani antrian,Memberikan formulir contoh yang sudah diisi dan membiarkan warga meniru sendiri,Meminta warga tersebut mengisi di pojok ruangan sendiri agar antrian cepat,A,"Skor 5: pelayanan prima yang ramah, proaktif, dan tidak mengorbankan warga lain. Memanggil bantuan sambil tetap melayani adalah kolaboratif tapi opsi paling ideal adalah menjelaskan sabar namun efektif. Kunci A skor 5.","{""A"":5,""B"":2,""C"":1,""D"":3,""E"":4}"
TKP,Pelayanan Publik,Etika Pelayanan,mudah,Anda bertugas di loket pelayanan. Seorang warga lansia bingung mengisi formulir dan antrian panjang di belakang Anda. Sikap Anda?,Meminta warga tersebut mengisi di pojok ruangan sendiri agar antrian cepat,Menjelaskan dengan sabar langkah demi langkah sambil tetap menjaga keramahan pada antrian,Memanggil petugas lain untuk membantu sambil Anda tetap melayani antrian,Menyuruh warga kembali besok karena sudah hampir jam istirahat,Memberikan formulir contoh yang sudah diisi dan membiarkan warga meniru sendiri,B,"Skor 5: pelayanan prima yang ramah, proaktif, dan tidak mengorbankan warga lain. Memanggil bantuan sambil tetap melayani adalah kolaboratif tapi opsi paling ideal adalah menjelaskan sabar namun efektif. Kunci B skor 5.","{""A"":2,""B"":5,""C"":3,""D"":1,""E"":4}"
TKP,TIK,Inovasi,mudah,Pimpinan meminta ide pemanfaatan TIK untuk mempercepat pelayanan. — konteks varian 3.,Meniru sistem instansi lain tanpa adaptasi,Menolak karena sudah sibuk,Mengusulkan menambah loket manual,Mengusulkan lembur saja,Mengusulkan dashboard tracking berkas online dan notifikasi WA otomatis,E,"Skor 5: efektif, inovatif, berorientasi pengguna. Kunci E skor 5.","{""A"":1,""B"":3,""C"":4,""D"":2,""E"":5}"
TKP,Profesionalisme,Etos Kerja,mudah,Anda diminta mengerjakan tugas di luar bidang Anda oleh atasan. — konteks varian 2.,Menolak halus karena bukan jobdesk,Menolak tegas agar tidak semena-mena,"Menerima tugas, mempelajarinya, dan meminta bimbingan agar tetap profesional",Menerima agar disukai atasan,Melempar ke rekan lain,C,"Skor 5: fleksibel, mau belajar, berorientasi tujuan organisasi. Kunci C skor 5.","{""A"":1,""B"":2,""C"":5,""D"":3,""E"":4}"
TKP,TIK,Literasi Digital,mudah,"Instansi Anda mulai menerapkan e-office, namun banyak rekan senior gagap teknologi. — konteks varian 3.",Membiarkan mereka belajar sendiri,Mengerjakan tugas mereka agar cepat,"Membuat panduan singkat dan menawarkan pendampingan, serta menjadi helpdesk informal",Hanya membantu jika diminta atasan,Mengeluh sistem baru menyulitkan,C,Skor 5: memanfaatkan TIK untuk meningkatkan kinerja kolektif. Kunci C skor 5.,"{""A"":1,""B"":4,""C"":5,""D"":2,""E"":3}"
TKP,Profesionalisme,Komitmen,sulit,Anda pegawai berprestasi ditawari perusahaan kompetitor dengan gaji lebih besar.,"Menolak dengan pertimbangan loyalitas dan pengabdian, tetap fokus kontribusi",Melaporkan ke atasan sebagai ancaman,Memakai tawaran untuk minta kenaikan gaji,Langsung mengambil tawaran,Mempertimbangkan dengan keluarga lalu memutuskan pindah,A,"Skor 5: integritas, profesionalisme, loyalitas. Kunci A skor 5.","{""A"":5,""B"":2,""C"":4,""D"":1,""E"":3}"
TKP,TIK,Literasi Digital,sedang,"Instansi Anda mulai menerapkan e-office, namun banyak rekan senior gagap teknologi. — konteks varian 2.","Membuat panduan singkat dan menawarkan pendampingan, serta menjadi helpdesk informal",Mengeluh sistem baru menyulitkan,Hanya membantu jika diminta atasan,Membiarkan mereka belajar sendiri,Mengerjakan tugas mereka agar cepat,A,Skor 5: memanfaatkan TIK untuk meningkatkan kinerja kolektif. Kunci A skor 5.,"{""A"":5,""B"":1,""C"":2,""D"":4,""E"":3}"
TKP,Jejaring Kerja,Kolaborasi,sulit,Rekan divisi lain mengusulkan ide berisiko tinggi yang menurut Anda merugikan perusahaan saat rapat gabungan. Ia menolak sanggahan Anda.,"Mengajaknya berbicara dengan bahasa santai, fokus pada tujuan bersama dan data risiko",Diam dan mengikuti idenya saja,Keluar ruangan dan melapor ke atasan,Memintanya memikirkan kembali tanpa diskusi,Memintanya mencari ide berisiko kecil yang realistis,A,"Skor 5: menjaga hubungan, kolaboratif, komunikatif, fokus tujuan. Kunci A skor 5.","{""A"":5,""B"":3,""C"":1,""D"":4,""E"":2}"
TKP,Sosial Budaya,Adaptasi,mudah,Anda ditugaskan ke divisi baru yang beberapa anggotanya tidak menyukai Anda.,Minta atasan menangguhkan pindah,Mengundurkan diri,Cuek saja,Bertanya langsung mengapa tidak disukai dengan konfrontatif,"Berusaha menerima, belajar menjadi lebih baik dan membangun komunikasi",E,"Skor 5: adaptif, positif, efektif di lingkungan majemuk. Kunci E skor 5.","{""A"":2,""B"":4,""C"":1,""D"":3,""E"":5}"
TKP,Sosial Budaya,Empati Budaya,sedang,Rekan berbeda suku tersinggung karena candaan rekan lain yang menyinggung budayanya. — konteks varian 4.,Menertawakan juga,Mengabaikan karena bukan urusan Anda,"Menengahi dengan empati, menjelaskan pentingnya menghormati budaya dan memediasi permintaan maaf",Menyuruh rekan tersinggung bersabar saja,Melapor ke atasan tanpa mediasi,C,"Skor 5: peka sosial budaya, proaktif mendamaikan. Kunci C skor 5.","{""A"":2,""B"":3,""C"":5,""D"":1,""E"":4}"
TKP,Sosial Budaya,Keragaman,sedang,Anda ditugaskan di daerah dengan bahasa dan adat yang sangat berbeda. — konteks varian 2.,Memaksakan budaya Anda,Bersikap eksklusif,Hanya bergaul dengan sesama perantau,Mengeluh ingin dipindah,"Mempelajari bahasa dan adat setempat, menghormati dan menyesuaikan perilaku",E,"Skor 5: adaptasi majemuk, inklusif. Kunci E skor 5.","{""A"":3,""B"":1,""C"":2,""D"":4,""E"":5}"
TKP,Profesionalisme,Evaluasi Diri,sulit,Teman kelompok menilai kinerja Anda belum optimal padahal Anda merasa sudah maksimal. — konteks varian 3.,Menerima berat hati agar tidak ribut,Bersedih tanpa perbaikan,Balas memarahi teman,Menerima lapang dada dan memperbaiki kinerja,Menyangkalnya,D,"Skor 5: terbuka kritik, growth mindset. Kunci D skor 5.","{""A"":3,""B"":2,""C"":4,""D"":5,""E"":1}"
TKP,Jejaring Kerja,Manajemen Konflik,sedang,Dua anggota rapat berdebat keras dan sama-sama keras kepala saat Anda jadi fasilitator.,Berusaha tidak memperkeruh tanpa menengahi,Meminta rekan lain menengahi,Mengabaikan saja,"Menengahi dan menyampaikan perbedaan pandangan itu wajar, ajak fokus solusi",Menegur keduanya agar diam,D,"Skor 5: fasilitator efektif, menjaga hubungan, kolaboratif. Kunci D skor 5.","{""A"":3,""B"":4,""C"":1,""D"":5,""E"":2}"
TKP,Jejaring Kerja,Kepemimpinan Tim,sedang,Anda ditunjuk ketua project padahal merasa ada yang lebih kompeten.,Menolak dan mengusulkan atasan saja,Menerima dengan senang hati tanpa pertimbangan,Mempertimbangkan mandat dan meminta saran atasan sebelum memutuskan,Menolak mentah-mentah,Langsung menerima demi kenaikan jabatan,C,"Skor 5: rendah hati, musyawarah, tanggung jawab. Kunci C skor 5.","{""A"":2,""B"":1,""C"":5,""D"":3,""E"":4}"
TKP,TIK,Kolaborasi Digital,sulit,Tim Anda tersebar di 3 kota dan kesulitan koordinasi.,"Menginisiasi grup kerja digital, kalender bersama, dan rapat harian singkat via video",Mengandalkan telepon satu per satu,Membuat laporan via kurir,Menunggu rapat tatap muka bulanan,Hanya koordinasi via atasan,A,Skor 5: kolaborasi TIK efektif. Kunci A skor 5.,"{""A"":5,""B"":1,""C"":2,""D"":4,""E"":3}"
TKP,TIK,Literasi Digital,sedang,"Instansi Anda mulai menerapkan e-office, namun banyak rekan senior gagap teknologi. — konteks varian 4.",Mengerjakan tugas mereka agar cepat,Membiarkan mereka belajar sendiri,Hanya membantu jika diminta atasan,Mengeluh sistem baru menyulitkan,"Membuat panduan singkat dan menawarkan pendampingan, serta menjadi helpdesk informal",E,Skor 5: memanfaatkan TIK untuk meningkatkan kinerja kolektif. Kunci E skor 5.,"{""A"":2,""B"":3,""C"":4,""D"":1,""E"":5}"
TKP,Pelayanan Publik,Integritas Pelayanan,sedang,Seorang warga menawarkan uang percepatan agar berkasnya didahulukan.,"Menolak dengan halus, menjelaskan SOP antrian dan memastikan berkasnya tetap diproses sesuai urutan",Menerima lalu melaporkan ke atasan,Menerima uang karena kasihan dan membantu mendahulukan,Meminta warga menitip uang ke rekan lain,Mengabaikan tawaran tanpa penjelasan,A,Skor 5: integritas + keramahan + edukasi. Kunci A skor 5.,"{""A"":5,""B"":4,""C"":3,""D"":1,""E"":2}"
TKP,Profesionalisme,Evaluasi Diri,sedang,Teman kelompok menilai kinerja Anda belum optimal padahal Anda merasa sudah maksimal.,Balas memarahi teman,Bersedih tanpa perbaikan,Menerima berat hati agar tidak ribut,Menyangkalnya,Menerima lapang dada dan memperbaiki kinerja,E,"Skor 5: terbuka kritik, growth mindset. Kunci E skor 5.","{""A"":1,""B"":3,""C"":2,""D"":4,""E"":5}"
TKP,Sosial Budaya,Adaptasi,mudah,Anda ditugaskan ke divisi baru yang beberapa anggotanya tidak menyukai Anda. — konteks varian 2.,"Berusaha menerima, belajar menjadi lebih baik dan membangun komunikasi",Minta atasan menangguhkan pindah,Mengundurkan diri,Cuek saja,Bertanya langsung mengapa tidak disukai dengan konfrontatif,A,"Skor 5: adaptif, positif, efektif di lingkungan majemuk. Kunci A skor 5.","{""A"":5,""B"":1,""C"":2,""D"":4,""E"":3}"
TKP,Pelayanan Publik,Responsivitas,sedang,Seorang pemohon mengeluh pelayanannya lambat padahal SOP sudah Anda jelaskan. Ia mulai meninggikan suara di ruang pelayanan. — konteks varian 3.,Meminta satpam untuk menenangkan pemohon,Mengabaikan keluhan dan melanjutkan pekerjaan sesuai SOP saja,Menegur pemohon agar tidak berteriak karena mengganggu,Menyuruh pemohon membuat pengaduan tertulis saja,"Tetap tenang, mendengarkan keluhan, menjelaskan kembali SOP dengan empati dan menawarkan solusi percepatan jika memungkinkan",E,Skor 5: keramahan + efektif + empati. Mendengarkan dan menjelaskan ulang dengan solusi adalah pelayanan prima. Kunci E skor 5.,"{""A"":2,""B"":1,""C"":4,""D"":3,""E"":5}"
TKP,Profesionalisme,Evaluasi Diri,mudah,Teman kelompok menilai kinerja Anda belum optimal padahal Anda merasa sudah maksimal. — konteks varian 4.,Menerima lapang dada dan memperbaiki kinerja,Balas memarahi teman,Bersedih tanpa perbaikan,Menyangkalnya,Menerima berat hati agar tidak ribut,A,"Skor 5: terbuka kritik, growth mindset. Kunci A skor 5.","{""A"":5,""B"":3,""C"":1,""D"":4,""E"":2}"
TKP,TIK,Keamanan Data,sedang,Anda menerima email mencurigakan mengatasnamakan pimpinan meminta data pegawai.,"Memverifikasi ke pimpinan via kanal resmi, tidak mengirim data, dan melaporkan sebagai dugaan phishing",Meneruskan email ke rekan lain,Menghapus tanpa lapor,Membalas meminta konfirmasi via email yang sama,Langsung mengirim data karena dari pimpinan,A,"Skor 5: melek keamanan TIK, prosedural. Kunci A skor 5.","{""A"":5,""B"":1,""C"":2,""D"":4,""E"":3}"
TKP,Pelayanan Publik,Empati,sulit,Seorang ibu membawa bayi dan dokumen belum lengkap. Ia sudah menempuh jarak jauh ke kantor Anda. — konteks varian 3.,Memintanya menitip berkas ke orang lain,Menyuruhnya pulang melengkapi dulu,"Mengecek dokumen yang ada, membantu melengkapi yang kurang via online dan menjadwalkan susulan tanpa harus pulang sia-sia",Menolak berkas karena tidak lengkap sesuai SOP,Menerima berkas tidak lengkap dan memproses seadanya,C,Skor 5: memenuhi kebutuhan warga dengan tetap taat SOP namun memberi jalan keluar. Kunci C skor 5.,"{""A"":1,""B"":2,""C"":5,""D"":4,""E"":3}"
TKP,Pelayanan Publik,Kepuasan Pengguna,sedang,Atasan meminta Anda memangkas waktu pelayanan 30% tanpa menambah SDM. Bagaimana Anda menyikapinya? — konteks varian 4.,Bekerja lembur setiap hari tanpa evaluasi proses,Menolak arahan karena tidak realistis,Menunda beberapa permohonan agar terlihat cepat,"Menganalisis alur kerja, mengusulkan digitalisasi formulir dan briefing tim untuk efisiensi",Meminta warga mengantri lebih cepat dengan membatasi konsultasi,D,"Skor 5: proaktif, solutif, meningkatkan kinerja sistem bukan sekadar kerja keras. Kunci D skor 5.","{""A"":2,""B"":3,""C"":1,""D"":5,""E"":4}"
TKP,Jejaring Kerja,Solidaritas,sedang,"Cici di toko kewalahan melayani pelanggan sambil harus hitung stok gudang, sementara Anda lowong.",Memberi motivasi verbal saja,Membagi tugas berdua saja tanpa libatkan lain,Meminta maaf tidak bisa bantu,Mengajak karyawan lain membantu Cici menghitung stok bersama,Menyuruh Cici lembur saja,D,"Skor 5: kolaborasi maksimal, berbagi beban, inisiatif jejaring. Kunci D skor 5.","{""A"":2,""B"":4,""C"":1,""D"":5,""E"":3}"
TKP,Jejaring Kerja,Membangun Relasi,sulit,"Anda melihat atasan berbelanja di supermarket saat akhir pekan, tidak di kantor. — konteks varian 2.","Melihat situasi, jika memungkinkan baru menyapa",Tidak peduli karena bukan di kantor,Pura-pura tidak tahu sampai disapa dulu,Segera menghampiri dan menyapa dengan ramah,Menyelinap pergi agar tidak menyapa,D,"Skor 5: proaktif membangun jejaring, sopan, tidak canggung. Kunci D skor 5.","{""A"":2,""B"":1,""C"":4,""D"":5,""E"":3}"
TKP,Jejaring Kerja,Kolaborasi,sulit,Rekan divisi lain mengusulkan ide berisiko tinggi yang menurut Anda merugikan perusahaan saat rapat gabungan. Ia menolak sanggahan Anda. — konteks varian 3.,Memintanya mencari ide berisiko kecil yang realistis,"Mengajaknya berbicara dengan bahasa santai, fokus pada tujuan bersama dan data risiko",Diam dan mengikuti idenya saja,Memintanya memikirkan kembali tanpa diskusi,Keluar ruangan dan melapor ke atasan,B,"Skor 5: menjaga hubungan, kolaboratif, komunikatif, fokus tujuan. Kunci B skor 5.","{""A"":4,""B"":5,""C"":2,""D"":1,""E"":3}"
TKP,TIK,Keamanan Data,sedang,Anda menerima email mencurigakan mengatasnamakan pimpinan meminta data pegawai. — konteks varian 3.,"Memverifikasi ke pimpinan via kanal resmi, tidak mengirim data, dan melaporkan sebagai dugaan phishing",Menghapus tanpa lapor,Meneruskan email ke rekan lain,Langsung mengirim data karena dari pimpinan,Membalas meminta konfirmasi via email yang sama,A,"Skor 5: melek keamanan TIK, prosedural. Kunci A skor 5.","{""A"":5,""B"":1,""C"":4,""D"":2,""E"":3}"
TKP,Pelayanan Publik,Empati,sulit,Seorang ibu membawa bayi dan dokumen belum lengkap. Ia sudah menempuh jarak jauh ke kantor Anda.,Menyuruhnya pulang melengkapi dulu,Menolak berkas karena tidak lengkap sesuai SOP,"Mengecek dokumen yang ada, membantu melengkapi yang kurang via online dan menjadwalkan susulan tanpa harus pulang sia-sia",Menerima berkas tidak lengkap dan memproses seadanya,Memintanya menitip berkas ke orang lain,C,Skor 5: memenuhi kebutuhan warga dengan tetap taat SOP namun memberi jalan keluar. Kunci C skor 5.,"{""A"":1,""B"":3,""C"":5,""D"":4,""E"":2}"
TKP,Pelayanan Publik,Integritas Pelayanan,sedang,Seorang warga menawarkan uang percepatan agar berkasnya didahulukan. — konteks varian 3.,Menerima uang karena kasihan dan membantu mendahulukan,"Menolak dengan halus, menjelaskan SOP antrian dan memastikan berkasnya tetap diproses sesuai urutan",Mengabaikan tawaran tanpa penjelasan,Menerima lalu melaporkan ke atasan,Meminta warga menitip uang ke rekan lain,B,Skor 5: integritas + keramahan + edukasi. Kunci B skor 5.,"{""A"":3,""B"":5,""C"":4,""D"":2,""E"":1}"
TKP,Sosial Budaya,Keragaman,mudah,Anda ditugaskan di daerah dengan bahasa dan adat yang sangat berbeda. — konteks varian 3.,Memaksakan budaya Anda,"Mempelajari bahasa dan adat setempat, menghormati dan menyesuaikan perilaku",Bersikap eksklusif,Hanya bergaul dengan sesama perantau,Mengeluh ingin dipindah,B,"Skor 5: adaptasi majemuk, inklusif. Kunci B skor 5.","{""A"":3,""B"":5,""C"":4,""D"":2,""E"":1}"
